	/WW01-SC2-26-015211-EN-26-01-21-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.821662764390493), ('Other', 0.09592015293252547), ('BA.2.86* (BA.2.86.X)', 0.04847392931192048), ('Omicron', 0.03197960180293134)]
lineages	XFG.3 XFG.1.1 QT.3 QF.5.1 XFG.5.2.1 XGE XFG.9.6 XER XFG.6.2 XDR PC.4 XFG.17.2.1 XFG.2.9 LF.7 LF.7.12 LF.7.9 NB.1.5 NB.1.2 NB.1 XFG.3.5.2 XFY XFY.3 XFG.3.18 XFJ.3.1 XFG.3.14
abundances	0.26595193 0.18625185 0.12307681 0.07692283 0.07222598 0.04332769 0.03370747 0.03021175 0.02922420 0.01896875 0.01515148 0.01362858 0.01149423 0.01110748 0.01110748 0.01110748 0.00849238 0.00849238 0.00849238 0.00464034 0.00455219 0.00359439 0.00286350 0.00176785 0.00167504
resid	4.490297227793592
coverage	56.80700933016754
